id,price_doc
30474,4862992.0
30475,9366267.0
30476,4931404.0
30477,6405247.0
30478,4089204.0
30479,10391892.0
30480,4068995.0
30481,3809589.0
30482,5080652.0
30483,2592615.0
30484,6679490.0
30485,3988348.0
30486,2391701.0
30487,3096747.0
30488,7246976.0
30489,6701868.0
30490,17886666.0
30491,14952565.0
30492,6478459.0
30493,14630779.0
30494,7135008.0
30495,10483529.0
30496,10669675.0
30497,9780634.0
30498,3658477.0
30499,7693810.0
30500,10915901.0
30501,6376844.0
30502,2030042.0
30503,6957632.0
30504,5550884.0
30505,12770070.0
30506,3445848.0
30507,3810968.0
30508,5606143.0
30509,6646114.0
30510,9419784.0
30511,6353715.0
30512,5561257.0
30513,4030769.0
30514,5689391.0
30515,9346202.0
30516,5519076.0
30517,12102676.0
30518,7183569.0
30519,5674340.0
30520,6359163.0
30521,3848972.0
30522,7401692.0
30523,5930103.0
30524,8863795.0
30525,17373562.0
30526,3841908.0
30527,4095888.0
30528,6508655.0
30529,6924295.0
30530,5828377.0
30531,13230942.0
30532,4173080.0
30533,11889241.0
30534,7067052.0
30535,9276024.0
30536,5235922.0
30537,10916153.0
30538,5104513.0
30539,11650088.0
30540,10015306.0
30541,7497488.0
30542,985483.0
30543,5939236.0
30544,7060963.0
30545,8273923.0
30546,2252606.0
30547,9626608.0
30548,3663973.0
30549,5254198.0
30550,10723506.0
30551,4969975.0
30552,781507.0
30553,6300159.0
30554,10418656.0
30555,6971725.0
30556,9732687.0
30557,8445160.0
30558,7396236.0
30559,8249871.0
30560,7469923.0
30561,6782368.0
30562,11488819.0
30563,4078169.0
30564,7482562.0
30565,8465122.0
30566,9459107.0
30567,532179.0
30568,10371326.0
30569,9063440.0
30570,5915283.0
30571,6548581.0
30572,3822292.0
30573,6657447.0
30574,7183701.0
30575,8742854.0
30576,2764464.0
30577,3909819.0
30578,3341093.0
30579,7170488.0
30580,4791295.0
30581,4806857.0
30582,11221990.0
30583,7073672.0
30584,4060550.0
30585,751598.0
30586,8800346.0
30587,4907864.0
30588,9312544.0
30589,7587129.0
30590,12408628.0
30591,4380629.0
30592,7609177.0
30593,10808367.0
30594,10305450.0
30595,3948092.0
30596,5499914.0
30597,6862293.0
30598,9685352.0
30599,13380291.0
30600,5727884.0
30601,7235468.0
30602,873437.0
30603,12822332.0
30604,4761707.0
30605,6906628.0
30606,17226741.0
30607,7353409.0
30608,9368029.0
30609,6659516.0
30610,1930439.0
30611,5635486.0
30612,7397413.0
30613,7857983.0
30614,16392745.0
30615,6906080.0
30616,5801365.0
30617,7930943.0
30618,4549811.0
30619,3258862.0
